Group,Subgroup,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Year,Start_Month
By Age,18 - 29 years,2021-08-18,2021-08-30,39.9,37.3,42.4,37.3 - 42.4,2021,Aug
By Age,30 - 39 years,2021-08-18,2021-08-30,36.2,34.5,38.1,34.5 - 38.1,2021,Aug
By Age,40 - 49 years,2021-08-18,2021-08-30,31.3,30,32.7,30.0 - 32.7,2021,Aug
By Age,50 - 59 years,2021-08-18,2021-08-30,27.1,25.8,28.4,25.8 - 28.4,2021,Aug
By Age,60 - 69 years,2021-08-18,2021-08-30,18.4,17.3,19.7,17.3 - 19.7,2021,Aug
By Age,70 - 79 years,2021-08-18,2021-08-30,13.5,11.9,15.3,11.9 - 15.3,2021,Aug
By Age,80 years and above,2021-08-18,2021-08-30,11.1,8.5,14.1,8.5 - 14.1,2021,Aug
By Sex,Male,2021-08-18,2021-08-30,23.4,22.3,24.5,22.3 - 24.5,2021,Aug
By Sex,Female,2021-08-18,2021-08-30,32,31.1,32.9,31.1 - 32.9,2021,Aug
By Gender identity,Cis-gender male,2021-08-18,2021-08-30,22.9,21.8,24,21.8 - 24.0,2021,Aug
By Gender identity,Cis-gender female,2021-08-18,2021-08-30,31.4,30.6,32.3,30.6 - 32.3,2021,Aug
By Gender identity,Transgender,2021-08-18,2021-08-30,55.3,42.3,67.8,42.3 - 67.8,2021,Aug
By Sexual orientation,Gay or lesbian,2021-08-18,2021-08-30,43,38.7,47.4,38.7 - 47.4,2021,Aug
By Sexual orientation,Straight,2021-08-18,2021-08-30,25.3,24.6,26,24.6 - 26.0,2021,Aug
By Sexual orientation,Bisexual,2021-08-18,2021-08-30,51.3,47.4,55.2,47.4 - 55.2,2021,Aug
By Race/Hispanic ethnicity,Hispanic or Latino,2021-08-18,2021-08-30,29.8,27.4,32.3,27.4 - 32.3,2021,Aug
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-08-18,2021-08-30,27.5,26.8,28.2,26.8 - 28.2,2021,Aug
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-08-18,2021-08-30,28.5,26.3,30.9,26.3 - 30.9,2021,Aug
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-08-18,2021-08-30,18.5,16.3,20.9,16.3 - 20.9,2021,Aug
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-08-18,2021-08-30,35.1,31.9,38.4,31.9 - 38.4,2021,Aug
By Education,Less than a high school diploma,2021-08-18,2021-08-30,31,27.5,34.8,27.5 - 34.8,2021,Aug
By Education,High school diploma or GED,2021-08-18,2021-08-30,27.7,26.2,29.2,26.2 - 29.2,2021,Aug
By Education,Some college/Associate's degree,2021-08-18,2021-08-30,31.1,30,32.2,30.0 - 32.2,2021,Aug
By Education,Bachelor's degree or higher,2021-08-18,2021-08-30,24.2,23.3,25,23.3 - 25.0,2021,Aug
By Disability status,With disability,2021-08-18,2021-08-30,56,53.8,58.1,53.8 - 58.1,2021,Aug
By Disability status,Without disability,2021-08-18,2021-08-30,23.4,22.7,24.2,22.7 - 24.2,2021,Aug
National Estimate,United States,2021-08-18,2021-08-30,32.1,31.4,32.9,31.4 - 32.9,2021,Aug
By Age,18 - 29 years,2021-08-18,2021-08-30,46.7,44.3,49.1,44.3 - 49.1,2021,Aug
By Age,30 - 39 years,2021-08-18,2021-08-30,40.7,38.9,42.5,38.9 - 42.5,2021,Aug
By Age,40 - 49 years,2021-08-18,2021-08-30,35.3,33.8,36.8,33.8 - 36.8,2021,Aug
By Age,50 - 59 years,2021-08-18,2021-08-30,30.6,29.1,32.1,29.1 - 32.1,2021,Aug
By Age,60 - 69 years,2021-08-18,2021-08-30,22.5,21.2,23.8,21.2 - 23.8,2021,Aug
By Age,70 - 79 years,2021-08-18,2021-08-30,16.8,15.1,18.6,15.1 - 18.6,2021,Aug
By Age,80 years and above,2021-08-18,2021-08-30,13.5,10.7,16.7,10.7 - 16.7,2021,Aug
By Sex,Male,2021-08-18,2021-08-30,28,26.8,29.2,26.8 - 29.2,2021,Aug
By Sex,Female,2021-08-18,2021-08-30,36,35.1,37,35.1 - 37.0,2021,Aug
By Gender identity,Cis-gender male,2021-08-18,2021-08-30,27.4,26.2,28.6,26.2 - 28.6,2021,Aug
By Gender identity,Cis-gender female,2021-08-18,2021-08-30,35.4,34.5,36.4,34.5 - 36.4,2021,Aug
By Gender identity,Transgender,2021-08-18,2021-08-30,65.9,55.5,75.3,55.5 - 75.3,2021,Aug
By Sexual orientation,Gay or lesbian,2021-08-18,2021-08-30,49.6,45.2,54,45.2 - 54.0,2021,Aug
By Sexual orientation,Straight,2021-08-18,2021-08-30,29.3,28.6,30,28.6 - 30.0,2021,Aug
By Sexual orientation,Bisexual,2021-08-18,2021-08-30,59.7,55.6,63.7,55.6 - 63.7,2021,Aug
By Race/Hispanic ethnicity,Hispanic or Latino,2021-08-18,2021-08-30,35.2,32.9,37.6,32.9 - 37.6,2021,Aug
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-08-18,2021-08-30,31.3,30.6,32.2,30.6 - 32.2,2021,Aug
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-08-18,2021-08-30,33.4,31.2,35.6,31.2 - 35.6,2021,Aug
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-08-18,2021-08-30,24.2,21.5,27.1,21.5 - 27.1,2021,Aug
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-08-18,2021-08-30,39.9,36.2,43.7,36.2 - 43.7,2021,Aug
By Education,Less than a high school diploma,2021-08-18,2021-08-30,36.3,32.8,40,32.8 - 40.0,2021,Aug
By Education,High school diploma or GED,2021-08-18,2021-08-30,32.7,31.3,34.3,31.3 - 34.3,2021,Aug
By Education,Some college/Associate's degree,2021-08-18,2021-08-30,35.9,34.8,37.1,34.8 - 37.1,2021,Aug
By Education,Bachelor's degree or higher,2021-08-18,2021-08-30,27.1,26.2,28.1,26.2 - 28.1,2021,Aug
By Disability status,With disability,2021-08-18,2021-08-30,62.9,60.9,64.9,60.9 - 64.9,2021,Aug
By Disability status,Without disability,2021-08-18,2021-08-30,27.3,26.5,28.1,26.5 - 28.1,2021,Aug
National Estimate,United States,2021-09-01,2021-09-13,22.4,21.7,23.2,21.7 - 23.2,2021,Sep
By Age,18 - 29 years,2021-09-01,2021-09-13,38.1,35.1,41.1,35.1 - 41.1,2021,Sep
By Age,30 - 39 years,2021-09-01,2021-09-13,26.5,24.7,28.5,24.7 - 28.5,2021,Sep
By Age,40 - 49 years,2021-09-01,2021-09-13,24.8,22.8,26.8,22.8 - 26.8,2021,Sep
By Age,50 - 59 years,2021-09-01,2021-09-13,19.8,18.2,21.5,18.2 - 21.5,2021,Sep
By Age,60 - 69 years,2021-09-01,2021-09-13,15.2,14,16.5,14.0 - 16.5,2021,Sep
By Age,70 - 79 years,2021-09-01,2021-09-13,10.1,9,11.3,9.0 - 11.3,2021,Sep
By Age,80 years and above,2021-09-01,2021-09-13,12.5,8.8,17.1,8.8 - 17.1,2021,Sep
By Sex,Male,2021-09-01,2021-09-13,21.2,20,22.4,20.0 - 22.4,2021,Sep
By Sex,Female,2021-09-01,2021-09-13,23.6,22.7,24.6,22.7 - 24.6,2021,Sep
By Gender identity,Cis-gender male,2021-09-01,2021-09-13,20.6,19.5,21.8,19.5 - 21.8,2021,Sep
By Gender identity,Cis-gender female,2021-09-01,2021-09-13,22.9,21.9,23.9,21.9 - 23.9,2021,Sep
By Gender identity,Transgender,2021-09-01,2021-09-13,59.8,46.6,72,46.6 - 72.0,2021,Sep
By Sexual orientation,Gay or lesbian,2021-09-01,2021-09-13,40.1,35,45.3,35.0 - 45.3,2021,Sep
By Sexual orientation,Straight,2021-09-01,2021-09-13,19.9,19.1,20.8,19.1 - 20.8,2021,Sep
By Sexual orientation,Bisexual,2021-09-01,2021-09-13,49,44.6,53.3,44.6 - 53.3,2021,Sep
By Race/Hispanic ethnicity,Hispanic or Latino,2021-09-01,2021-09-13,27.9,25.2,30.7,25.2 - 30.7,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-09-01,2021-09-13,21.2,20.5,22,20.5 - 22.0,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-09-01,2021-09-13,21.9,19.3,24.6,19.3 - 24.6,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-09-01,2021-09-13,17.1,14.4,20.1,14.4 - 20.1,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-09-01,2021-09-13,29.6,26.3,33,26.3 - 33.0,2021,Sep
By Education,Less than a high school diploma,2021-09-01,2021-09-13,26.9,21.8,32.4,21.8 - 32.4,2021,Sep
By Education,High school diploma or GED,2021-09-01,2021-09-13,25,23.2,26.9,23.2 - 26.9,2021,Sep
By Education,Some college/Associate's degree,2021-09-01,2021-09-13,25.2,23.9,26.5,23.9 - 26.5,2021,Sep
By Education,Bachelor's degree or higher,2021-09-01,2021-09-13,16.6,15.9,17.3,15.9 - 17.3,2021,Sep
By Disability status,With disability,2021-09-01,2021-09-13,51.6,49.1,54.1,49.1 - 54.1,2021,Sep
By Disability status,Without disability,2021-09-01,2021-09-13,17.7,16.9,18.5,16.9 - 18.5,2021,Sep
National Estimate,United States,2021-09-01,2021-09-13,28.1,27.4,28.8,27.4 - 28.8,2021,Sep
By Age,18 - 29 years,2021-09-01,2021-09-13,43.6,40.8,46.4,40.8 - 46.4,2021,Sep
By Age,30 - 39 years,2021-09-01,2021-09-13,36,34.2,37.7,34.2 - 37.7,2021,Sep
By Age,40 - 49 years,2021-09-01,2021-09-13,31.9,30.2,33.6,30.2 - 33.6,2021,Sep
By Age,50 - 59 years,2021-09-01,2021-09-13,25.3,23.3,27.3,23.3 - 27.3,2021,Sep
By Age,60 - 69 years,2021-09-01,2021-09-13,18.9,17.7,20.1,17.7 - 20.1,2021,Sep
By Age,70 - 79 years,2021-09-01,2021-09-13,12.5,11,14.2,11.0 - 14.2,2021,Sep
By Age,80 years and above,2021-09-01,2021-09-13,13.8,9.8,18.7,9.8 - 18.7,2021,Sep
By Sex,Male,2021-09-01,2021-09-13,24.5,23.4,25.6,23.4 - 25.6,2021,Sep
By Sex,Female,2021-09-01,2021-09-13,31.5,30.6,32.3,30.6 - 32.3,2021,Sep
By Gender identity,Cis-gender male,2021-09-01,2021-09-13,23.9,22.8,25,22.8 - 25.0,2021,Sep
By Gender identity,Cis-gender female,2021-09-01,2021-09-13,30.8,29.9,31.8,29.9 - 31.8,2021,Sep
By Gender identity,Transgender,2021-09-01,2021-09-13,61.8,50.3,72.3,50.3 - 72.3,2021,Sep
By Sexual orientation,Gay or lesbian,2021-09-01,2021-09-13,46.2,40.9,51.7,40.9 - 51.7,2021,Sep
By Sexual orientation,Straight,2021-09-01,2021-09-13,25.4,24.6,26.3,24.6 - 26.3,2021,Sep
By Sexual orientation,Bisexual,2021-09-01,2021-09-13,58.3,54.6,62,54.6 - 62.0,2021,Sep
By Race/Hispanic ethnicity,Hispanic or Latino,2021-09-01,2021-09-13,30.5,28.3,32.8,28.3 - 32.8,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-09-01,2021-09-13,28.1,27.3,29,27.3 - 29.0,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-09-01,2021-09-13,25.6,23.1,28.2,23.1 - 28.2,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-09-01,2021-09-13,20.5,17.4,23.9,17.4 - 23.9,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-09-01,2021-09-13,35.4,31.9,39.1,31.9 - 39.1,2021,Sep
By Education,Less than a high school diploma,2021-09-01,2021-09-13,27.8,23.4,32.6,23.4 - 32.6,2021,Sep
By Education,High school diploma or GED,2021-09-01,2021-09-13,29.5,27.9,31.2,27.9 - 31.2,2021,Sep
By Education,Some college/Associate's degree,2021-09-01,2021-09-13,30.2,29.1,31.2,29.1 - 31.2,2021,Sep
By Education,Bachelor's degree or higher,2021-09-01,2021-09-13,25,24.2,25.8,24.2 - 25.8,2021,Sep
By Disability status,With disability,2021-09-01,2021-09-13,56.7,53.9,59.4,53.9 - 59.4,2021,Sep
By Disability status,Without disability,2021-09-01,2021-09-13,23.4,22.7,24.2,22.7 - 24.2,2021,Sep
National Estimate,United States,2021-09-01,2021-09-13,32.1,31.3,33,31.3 - 33.0,2021,Sep
By Age,18 - 29 years,2021-09-01,2021-09-13,50,47.1,52.9,47.1 - 52.9,2021,Sep
By Age,30 - 39 years,2021-09-01,2021-09-13,40.5,38.6,42.4,38.6 - 42.4,2021,Sep
By Age,40 - 49 years,2021-09-01,2021-09-13,35.4,33.6,37.4,33.6 - 37.4,2021,Sep
By Age,50 - 59 years,2021-09-01,2021-09-13,29.1,27.1,31.2,27.1 - 31.2,2021,Sep
By Age,60 - 69 years,2021-09-01,2021-09-13,22.3,21,23.6,21.0 - 23.6,2021,Sep
By Age,70 - 79 years,2021-09-01,2021-09-13,15,13.4,16.6,13.4 - 16.6,2021,Sep
By Age,80 years and above,2021-09-01,2021-09-13,16.8,12.5,21.8,12.5 - 21.8,2021,Sep
By Sex,Male,2021-09-01,2021-09-13,28.8,27.5,30.1,27.5 - 30.1,2021,Sep
By Sex,Female,2021-09-01,2021-09-13,35.3,34.3,36.2,34.3 - 36.2,2021,Sep
By Gender identity,Cis-gender male,2021-09-01,2021-09-13,28.1,27,29.3,27.0 - 29.3,2021,Sep
By Gender identity,Cis-gender female,2021-09-01,2021-09-13,34.6,33.5,35.6,33.5 - 35.6,2021,Sep
By Gender identity,Transgender,2021-09-01,2021-09-13,71.6,58.8,82.2,58.8 - 82.2,2021,Sep
By Sexual orientation,Gay or lesbian,2021-09-01,2021-09-13,51.2,46.4,56.1,46.4 - 56.1,2021,Sep
By Sexual orientation,Straight,2021-09-01,2021-09-13,29.4,28.4,30.3,28.4 - 30.3,2021,Sep
By Sexual orientation,Bisexual,2021-09-01,2021-09-13,62.4,58.6,66.1,58.6 - 66.1,2021,Sep
By Race/Hispanic ethnicity,Hispanic or Latino,2021-09-01,2021-09-13,35.7,33.1,38.4,33.1 - 38.4,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-09-01,2021-09-13,31.6,30.7,32.5,30.7 - 32.5,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-09-01,2021-09-13,31.1,28.3,33.9,28.3 - 33.9,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-09-01,2021-09-13,25,21.7,28.4,21.7 - 28.4,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-09-01,2021-09-13,39.5,36.1,43,36.1 - 43.0,2021,Sep
By Education,Less than a high school diploma,2021-09-01,2021-09-13,33.9,29,39.1,29.0 - 39.1,2021,Sep
By Education,High school diploma or GED,2021-09-01,2021-09-13,33.9,32.1,35.8,32.1 - 35.8,2021,Sep
By Education,Some college/Associate's degree,2021-09-01,2021-09-13,34.6,33.3,35.9,33.3 - 35.9,2021,Sep
By Education,Bachelor's degree or higher,2021-09-01,2021-09-13,27.9,27,28.8,27.0 - 28.8,2021,Sep
By Disability status,With disability,2021-09-01,2021-09-13,62.6,59.9,65.2,59.9 - 65.2,2021,Sep
By Disability status,Without disability,2021-09-01,2021-09-13,27.2,26.4,28,26.4 - 28.0,2021,Sep
National Estimate,United States,2021-09-15,2021-09-27,22.3,21.6,23.1,21.6 - 23.1,2021,Sep
By Age,18 - 29 years,2021-09-15,2021-09-27,36.4,33.2,39.6,33.2 - 39.6,2021,Sep
By Age,30 - 39 years,2021-09-15,2021-09-27,26.8,25.3,28.4,25.3 - 28.4,2021,Sep
By Age,40 - 49 years,2021-09-15,2021-09-27,22.3,20.8,23.8,20.8 - 23.8,2021,Sep
By Age,50 - 59 years,2021-09-15,2021-09-27,21.9,20.1,23.8,20.1 - 23.8,2021,Sep
By Age,60 - 69 years,2021-09-15,2021-09-27,15.5,14.4,16.7,14.4 - 16.7,2021,Sep
By Age,70 - 79 years,2021-09-15,2021-09-27,10.7,8.9,12.7,8.9 - 12.7,2021,Sep
By Age,80 years and above,2021-09-15,2021-09-27,12.2,8.9,16.2,8.9 - 16.2,2021,Sep
By Sex,Male,2021-09-15,2021-09-27,21.2,20,22.3,20.0 - 22.3,2021,Sep
By Sex,Female,2021-09-15,2021-09-27,23.4,22.4,24.4,22.4 - 24.4,2021,Sep
By Gender identity,Cis-gender male,2021-09-15,2021-09-27,20.4,19.2,21.5,19.2 - 21.5,2021,Sep
By Gender identity,Cis-gender female,2021-09-15,2021-09-27,23.1,22.1,24.1,22.1 - 24.1,2021,Sep
By Gender identity,Transgender,2021-09-15,2021-09-27,62.8,50.3,74.2,50.3 - 74.2,2021,Sep
By Sexual orientation,Gay or lesbian,2021-09-15,2021-09-27,38.9,32.8,45.2,32.8 - 45.2,2021,Sep
By Sexual orientation,Straight,2021-09-15,2021-09-27,19.6,18.9,20.4,18.9 - 20.4,2021,Sep
By Sexual orientation,Bisexual,2021-09-15,2021-09-27,48.8,44.1,53.6,44.1 - 53.6,2021,Sep
By Race/Hispanic ethnicity,Hispanic or Latino,2021-09-15,2021-09-27,26.8,24.4,29.2,24.4 - 29.2,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-09-15,2021-09-27,20.6,19.7,21.4,19.7 - 21.4,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-09-15,2021-09-27,26.4,23.7,29.2,23.7 - 29.2,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-09-15,2021-09-27,15.8,13.4,18.5,13.4 - 18.5,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-09-15,2021-09-27,32.5,28.5,36.8,28.5 - 36.8,2021,Sep
By Education,Less than a high school diploma,2021-09-15,2021-09-27,32.7,27.7,38.1,27.7 - 38.1,2021,Sep
By Education,High school diploma or GED,2021-09-15,2021-09-27,23.7,21.8,25.7,21.8 - 25.7,2021,Sep
By Education,Some college/Associate's degree,2021-09-15,2021-09-27,25.9,24.9,27,24.9 - 27.0,2021,Sep
By Education,Bachelor's degree or higher,2021-09-15,2021-09-27,15.7,15,16.4,15.0 - 16.4,2021,Sep
By Disability status,With disability,2021-09-15,2021-09-27,49.7,47,52.4,47.0 - 52.4,2021,Sep
By Disability status,Without disability,2021-09-15,2021-09-27,17.7,16.9,18.5,16.9 - 18.5,2021,Sep
National Estimate,United States,2021-09-15,2021-09-27,27.8,27.2,28.5,27.2 - 28.5,2021,Sep
By Age,18 - 29 years,2021-09-15,2021-09-27,42.1,39,45.2,39.0 - 45.2,2021,Sep
By Age,30 - 39 years,2021-09-15,2021-09-27,34.7,33,36.6,33.0 - 36.6,2021,Sep
By Age,40 - 49 years,2021-09-15,2021-09-27,30.3,28.8,31.9,28.8 - 31.9,2021,Sep
By Age,50 - 59 years,2021-09-15,2021-09-27,27.7,26,29.6,26.0 - 29.6,2021,Sep
By Age,60 - 69 years,2021-09-15,2021-09-27,19,17.7,20.3,17.7 - 20.3,2021,Sep
By Age,70 - 79 years,2021-09-15,2021-09-27,12.3,10.6,14.2,10.6 - 14.2,2021,Sep
By Age,80 years and above,2021-09-15,2021-09-27,12.2,9.9,15,9.9 - 15.0,2021,Sep
By Sex,Male,2021-09-15,2021-09-27,24,22.9,25.1,22.9 - 25.1,2021,Sep
By Sex,Female,2021-09-15,2021-09-27,31.4,30.4,32.5,30.4 - 32.5,2021,Sep
By Gender identity,Cis-gender male,2021-09-15,2021-09-27,23,22,24.1,22.0 - 24.1,2021,Sep
By Gender identity,Cis-gender female,2021-09-15,2021-09-27,30.9,29.9,32,29.9 - 32.0,2021,Sep
By Gender identity,Transgender,2021-09-15,2021-09-27,73.2,61.6,82.8,61.6 - 82.8,2021,Sep
By Sexual orientation,Gay or lesbian,2021-09-15,2021-09-27,45,39.9,50.1,39.9 - 50.1,2021,Sep
By Sexual orientation,Straight,2021-09-15,2021-09-27,25,24.3,25.7,24.3 - 25.7,2021,Sep
By Sexual orientation,Bisexual,2021-09-15,2021-09-27,59,54.7,63.2,54.7 - 63.2,2021,Sep
By Race/Hispanic ethnicity,Hispanic or Latino,2021-09-15,2021-09-27,32.1,29.8,34.5,29.8 - 34.5,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-09-15,2021-09-27,26.6,25.8,27.4,25.8 - 27.4,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-09-15,2021-09-27,29.1,26.5,31.8,26.5 - 31.8,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-09-15,2021-09-27,20.2,17.4,23.3,17.4 - 23.3,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-09-15,2021-09-27,39.2,35.8,42.6,35.8 - 42.6,2021,Sep
By Education,Less than a high school diploma,2021-09-15,2021-09-27,35.8,31.2,40.6,31.2 - 40.6,2021,Sep
By Education,High school diploma or GED,2021-09-15,2021-09-27,27.1,25.2,29,25.2 - 29.0,2021,Sep
By Education,Some college/Associate's degree,2021-09-15,2021-09-27,31.5,30.3,32.7,30.3 - 32.7,2021,Sep
By Education,Bachelor's degree or higher,2021-09-15,2021-09-27,23.5,22.7,24.3,22.7 - 24.3,2021,Sep
By Disability status,With disability,2021-09-15,2021-09-27,56,53.2,58.7,53.2 - 58.7,2021,Sep
By Disability status,Without disability,2021-09-15,2021-09-27,23,22.3,23.7,22.3 - 23.7,2021,Sep
National Estimate,United States,2021-09-15,2021-09-27,32.2,31.4,32.9,31.4 - 32.9,2021,Sep
By Age,18 - 29 years,2021-09-15,2021-09-27,49.1,45.8,52.5,45.8 - 52.5,2021,Sep
By Age,30 - 39 years,2021-09-15,2021-09-27,38.8,37.1,40.5,37.1 - 40.5,2021,Sep
By Age,40 - 49 years,2021-09-15,2021-09-27,34.2,32.7,35.7,32.7 - 35.7,2021,Sep
By Age,50 - 59 years,2021-09-15,2021-09-27,31.7,29.8,33.6,29.8 - 33.6,2021,Sep
By Age,60 - 69 years,2021-09-15,2021-09-27,23.2,21.9,24.5,21.9 - 24.5,2021,Sep
By Age,70 - 79 years,2021-09-15,2021-09-27,15.2,13.1,17.4,13.1 - 17.4,2021,Sep
By Age,80 years and above,2021-09-15,2021-09-27,16.4,12.7,20.8,12.7 - 20.8,2021,Sep
By Sex,Male,2021-09-15,2021-09-27,28.8,27.8,29.9,27.8 - 29.9,2021,Sep
By Sex,Female,2021-09-15,2021-09-27,35.3,34.2,36.4,34.2 - 36.4,2021,Sep
By Gender identity,Cis-gender male,2021-09-15,2021-09-27,28,26.9,29.1,26.9 - 29.1,2021,Sep
By Gender identity,Cis-gender female,2021-09-15,2021-09-27,34.8,33.8,35.9,33.8 - 35.9,2021,Sep
By Gender identity,Transgender,2021-09-15,2021-09-27,75.3,64.6,84.1,64.6 - 84.1,2021,Sep
By Sexual orientation,Gay or lesbian,2021-09-15,2021-09-27,51.8,46.4,57.2,46.4 - 57.2,2021,Sep
By Sexual orientation,Straight,2021-09-15,2021-09-27,29,28.2,29.8,28.2 - 29.8,2021,Sep
By Sexual orientation,Bisexual,2021-09-15,2021-09-27,65.4,61.5,69.1,61.5 - 69.1,2021,Sep
By Race/Hispanic ethnicity,Hispanic or Latino,2021-09-15,2021-09-27,36.5,34.2,39,34.2 - 39.0,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-09-15,2021-09-27,30.6,29.6,31.5,29.6 - 31.5,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-09-15,2021-09-27,34.8,31.9,37.7,31.9 - 37.7,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-09-15,2021-09-27,23.5,20.4,26.7,20.4 - 26.7,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-09-15,2021-09-27,47.4,43.2,51.6,43.2 - 51.6,2021,Sep
By Education,Less than a high school diploma,2021-09-15,2021-09-27,41.2,36.1,46.4,36.1 - 46.4,2021,Sep
By Education,High school diploma or GED,2021-09-15,2021-09-27,32.2,30.1,34.3,30.1 - 34.3,2021,Sep
By Education,Some college/Associate's degree,2021-09-15,2021-09-27,36.5,35.3,37.6,35.3 - 37.6,2021,Sep
By Education,Bachelor's degree or higher,2021-09-15,2021-09-27,26.4,25.6,27.2,25.6 - 27.2,2021,Sep
By Disability status,With disability,2021-09-15,2021-09-27,62.2,59.6,64.8,59.6 - 64.8,2021,Sep
By Disability status,Without disability,2021-09-15,2021-09-27,27,26.2,27.8,26.2 - 27.8,2021,Sep
National Estimate,United States,2021-09-29,2021-10-11,21.8,21.1,22.6,21.1 - 22.6,2021,Sep
By Age,18 - 29 years,2021-09-29,2021-10-11,36,33.6,38.5,33.6 - 38.5,2021,Sep
By Age,30 - 39 years,2021-09-29,2021-10-11,25.7,24.1,27.3,24.1 - 27.3,2021,Sep
By Age,40 - 49 years,2021-09-29,2021-10-11,23.9,21.9,25.9,21.9 - 25.9,2021,Sep
By Age,50 - 59 years,2021-09-29,2021-10-11,20.3,18.7,21.9,18.7 - 21.9,2021,Sep
By Age,60 - 69 years,2021-09-29,2021-10-11,15.1,13.7,16.6,13.7 - 16.6,2021,Sep
By Age,70 - 79 years,2021-09-29,2021-10-11,10.5,9,12.1,9.0 - 12.1,2021,Sep
By Age,80 years and above,2021-09-29,2021-10-11,12.5,9.1,16.6,9.1 - 16.6,2021,Sep
By Sex,Male,2021-09-29,2021-10-11,19.7,18.6,20.8,18.6 - 20.8,2021,Sep
By Sex,Female,2021-09-29,2021-10-11,23.8,22.9,24.7,22.9 - 24.7,2021,Sep
By Gender identity,Cis-gender male,2021-09-29,2021-10-11,19,18,20.2,18.0 - 20.2,2021,Sep
By Gender identity,Cis-gender female,2021-09-29,2021-10-11,23.3,22.3,24.3,22.3 - 24.3,2021,Sep
By Gender identity,Transgender,2021-09-29,2021-10-11,49.2,37.1,61.4,37.1 - 61.4,2021,Sep
By Sexual orientation,Gay or lesbian,2021-09-29,2021-10-11,34.9,30.2,39.8,30.2 - 39.8,2021,Sep
By Sexual orientation,Straight,2021-09-29,2021-10-11,19.4,18.6,20.3,18.6 - 20.3,2021,Sep
By Sexual orientation,Bisexual,2021-09-29,2021-10-11,44.6,39.8,49.4,39.8 - 49.4,2021,Sep
By Race/Hispanic ethnicity,Hispanic or Latino,2021-09-29,2021-10-11,24.5,22,27.2,22.0 - 27.2,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-09-29,2021-10-11,20.8,20.1,21.5,20.1 - 21.5,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-09-29,2021-10-11,22.7,19.9,25.7,19.9 - 25.7,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-09-29,2021-10-11,16.1,13.3,19.3,13.3 - 19.3,2021,Sep
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-09-29,2021-10-11,33.8,29.8,38,29.8 - 38.0,2021,Sep
By Education,Less than a high school diploma,2021-09-29,2021-10-11,29.1,24.2,34.4,24.2 - 34.4,2021,Sep
By Education,High school diploma or GED,2021-09-29,2021-10-11,23.1,21.6,24.8,21.6 - 24.8,2021,Sep
By Education,Some college/Associate's degree,2021-09-29,2021-10-11,25.7,24.6,26.8,24.6 - 26.8,2021,Sep
